policy,family,value,metric_p50,metric_p25,metric_p75
median,spoof,0.5,0.019438189691581002,0.013370898926801277,0.02655234862523257
ippo,spoof,0.5,0.015655548065988113,0.011519245363057592,0.026777167167339015
maddpg,spoof,0.5,0.022034220126924423,0.014317784781185724,0.04278830365416371
mappo,spoof,0.5,0.016123552741340724,0.011578235103854482,0.027887696945152515
mean,spoof,1.0,0.05814829465691469,0.0479034111814064,0.07786263367920754
median,spoof,1.0,0.07433099282965955,0.05668906861805807,0.10914451101473187
ippo,spoof,1.0,0.05920314807399499,0.04662313657468176,0.07993016230560164
maddpg,spoof,1.0,0.07117312948667326,0.059694852016439204,0.0946783327985835
mappo,spoof,1.0,0.059210509957470306,0.04485990147069008,0.089375378573679
mean,byzantine,0.0,9.962420894536418e-07,2.7815082401566647e-07,1.9788380651931984e-06
median,byzantine,0.0,0.0004078650131743984,2.0077559071601777e-08,0.0014939768594698702
ippo,byzantine,0.0,4.341573577872468e-06,2.2984739697716705e-07,8.23944338346175e-05
maddpg,byzantine,0.0,0.00011963059241605034,1.0310171035301701e-05,0.0005041204957038965
mappo,byzantine,0.0,1.4198995853086513e-05,3.9962082142636657e-07,9.728343747997728e-05
mean,byzantine,0.1,0.009648700118925402,0.00554915155021923,0.04859722468241252
median,byzantine,0.1,0.0002160480877135482,3.5105644596832996e-06,0.012375055783397227
ippo,byzantine,0.1,0.006331254230033837,0.002651279387648005,0.015133373478373038
maddpg,byzantine,0.1,0.008103424152975214,0.0018910310181576653,0.019625449768408538
mappo,byzantine,0.1,0.0077114095837829185,0.002268648075492143,0.016700307899857842
mean,byzantine,0.25,0.07029446677232198,0.05552515814036408,0.08127972737031744
median,byzantine,0.25,0.0021215721583847805,7.208087943107865e-05,0.03579051835591997
ippo,byzantine,0.25,0.014285032442898218,0.00889653010226806,0.036942210707435766
maddpg,byzantine,0.25,0.023958183071613452,0.009383421762812313,0.05586552843565777
mappo,byzantine,0.25,0.016584595073650246,0.009164623474258756,0.03169497260765483
mean,byzantine,0.5,0.09663425603695328,0.0762200206573577,0.22112188584426268
median,byzantine,0.5,0.08195177529453276,0.007464744648267671,0.14906157548685894
ippo,byzantine,0.5,0.043078425043117013,0.01942143515026426,0.18005769504153143
maddpg,byzantine,0.5,0.06067710596283584,0.025340934581809547,0.14533057033248922
mappo,byzantine,0.5,0.05020255467474002,0.015325055581045889,0.18573191686076043
