policy,family,value,metric_p50,metric_p25,metric_p75
ippo,msg_drop,1.0,1.0,1.0,1.0
maddpg,msg_drop,1.0,1.0,1.0,1.0
mappo,msg_drop,1.0,1.0,1.0,1.0
mean,latency,0.0,3.211580940949543e-05,2.178768201659893e-05,8.941568110463813e-05
median,latency,0.0,0.017521414751819175,0.003464201937702892,0.034723517054233134
ippo,latency,0.0,0.0023840971187983626,0.00012640470436182038,0.010063192309028609
maddpg,latency,0.0,0.011344107712493584,0.0020108836550956537,0.025455153790523988
mappo,latency,0.0,0.0036898952270760918,0.00023457484816791826,0.012086789380245738
mean,latency,1.0,0.0023406282865738315,0.0007713599820409452,0.004142235423442486
median,latency,1.0,0.012299203421567605,0.0011343739569629804,0.04226056487725212
ippo,latency,1.0,0.0038951500306416975,0.0005998398399103381,0.02135185938272919
maddpg,latency,1.0,0.012731189268271288,0.001046505301302589,0.020044384816638394
mappo,latency,1.0,0.006298705610235,0.0018545371601597198,0.024664643845438344
mean,latency,2.0,0.009078571031595224,0.001670041568821504,0.016403638810872506
median,latency,2.0,0.011447899881791304,0.001666885490898295,0.029546267976065698
ippo,latency,2.0,0.01063562922293507,0.0011841111695255013,0.03347858819819863
maddpg,latency,2.0,0.008074939348123655,0.0022569744185768226,0.021869517086670343
mappo,latency,2.0,0.015934488071499497,0.0035924354699526785,0.04098256852266878
mean,latency,4.0,0.021225900429548798,0.003510355051639656,0.03985394486538088
median,latency,4.0,0.021092141583950695,0.0018248723753112434,0.07070368860609272
ippo,latency,4.0,0.023139911529011552,0.0024931802301870615,0.053730436565409115
maddpg,latency,4.0,0.012704351648883748,0.004805451444691666,0.029740890497120698
mappo,latency,4.0,0.02828984607938545,0.004564449330821292,0.060299495964138916
mean,latency,8.0,0.03630504021729486,0.006267773303950638,0.057237217950603846
median,latency,8.0,0.04266378634868873,0.017239749115750637,0.07932561210061355
ippo,latency,8.0,0.03177642979232302,0.0037690668771995185,0.06108287268444047
maddpg,latency,8.0,0.02317152263244026,0.007395402161717159,0.0498273056423452
mappo,latency,8.0,0.03444979124777467,0.0055623607663132756,0.06706963699467117
mean,bandwidth,1.0,1.0125928145928325,0.5860237825970631,1.3123504945232876
median,bandwidth,1.0,1.0125929408072845,0.5860236986918703,1.3123514170014876
ippo,bandwidth,1.0,1.1628253373059554,0.6020967731512142,2.145871920560236
maddpg,bandwidth,1.0,1.9082055884089817,0.6524168532234376,4.846903224828877
mappo,bandwidth,1.0,0.9350023733132974,0.4065395036626347,1.6050986171144817
mean,bandwidth,2.0,0.5483687362693205,0.2837587446393218,0.7251601116660521
median,bandwidth,2.0,0.5483687426945307,0.2837587446637571,0.7251593318252014
ippo,bandwidth,2.0,0.607961020204792,0.264629505753259,0.7755467021980555
maddpg,bandwidth,2.0,0.6998920012628241,0.4626848017315352,1.4884373065838157
mappo,bandwidth,2.0,0.6341304408814545,0.2878717340396308,0.8817410616644299
mean,bandwidth,3.0,0.24664953529104033,0.10635827968722265,0.3475213648594304
median,bandwidth,3.0,0.24664959565721759,0.10635845775923605,0.3475213944364874
ippo,bandwidth,3.0,0.29075717748664687,0.1348513871314896,0.36513488187415327
maddpg,bandwidth,3.0,0.28676152324532034,0.14715787519274906,0.413834462402468
mappo,bandwidth,3.0,0.2970933963410317,0.13708135922046766,0.36941981958211956
mean,bandwidth,4.0,0.1622418876061194,0.08340947631576805,0.2401232646132977
median,bandwidth,4.0,0.11358184462917109,0.04514063735549191,0.18113932123086263
ippo,bandwidth,4.0,0.10052006565124652,0.08074398629077276,0.24357946902961103
maddpg,bandwidth,4.0,0.12116010882032702,0.028536199468174112,0.23715035324447925
mappo,bandwidth,4.0,0.1192815201337301,0.08117032455679442,0.2471771589837261
mean,bandwidth,8.0,0.0015199593089822456,0.0006460814529432822,0.0025882940586274905
median,bandwidth,8.0,0.017020998445573136,0.0037396898855884264,0.05341810287045634
ippo,bandwidth,8.0,0.004786450351152919,0.0008370726079050181,0.01397278136671558
maddpg,bandwidth,8.0,0.013447707710112698,0.002600302877189364,0.027214961859831608
mappo,bandwidth,8.0,0.006242183547967216,0.0033963180534095747,0.020507854773073066
mean,bandwidth,0.0,3.211580940949543e-05,2.178768201659893e-05,8.941568110463813e-05
median,bandwidth,0.0,0.017521414751819175,0.003464201937702892,0.034723517054233134
