strategy,bits,consensus_error
median,3.0,0.018337302188861822
median,4.0,0.0022726814166660154
median,4.0,0.035324133261746604
median,4.0,0.036969986218869766
median,4.0,0.03874249844788395
median,4.0,0.0018544740296762116
median,4.0,0.050283472508992885
median,4.0,0.01112421735198129
median,4.0,0.014201134235832797
median,4.0,2.7595362474896926e-05
median,4.0,0.03045747051234803
median,8.0,0.0029824145641525962
median,8.0,0.0019622998308747317
median,8.0,0.011782032647526846
median,8.0,0.06732391952428507
median,8.0,0.0006324199093987388
median,8.0,0.028998951461145346
median,8.0,0.06290839262035627
median,8.0,0.00015718648981962515
median,8.0,0.004568420039460491
median,8.0,0.0066357245980260245
median,32.0,0.0031747075810463392
median,32.0,0.00320487385707176
median,32.0,0.010946791357537613
median,32.0,0.07442097525631906
median,32.0,0.0008740494206147465
median,32.0,0.029115833628476574
median,32.0,0.06772029398602346
median,32.0,1.4997736387157827e-05
median,32.0,0.00558790176527997
median,32.0,0.006940615166373581
trimmed,1.0,7.575305849313983
trimmed,1.0,5.097016430059131
trimmed,1.0,6.719893863250162
trimmed,1.0,4.91784982445474
trimmed,1.0,4.459016346983862
trimmed,1.0,5.69802111379185
trimmed,1.0,8.44176408719907
trimmed,1.0,7.186857467038168
trimmed,1.0,7.869445115196977
trimmed,1.0,7.327003718492915
trimmed,2.0,0.34072814620702824
trimmed,2.0,0.8445138061361914
trimmed,2.0,0.3507906323930111
trimmed,2.0,0.6482861288618398
trimmed,2.0,0.7107562409041659
trimmed,2.0,0.1498098771014957
trimmed,2.0,0.8198784659019577
trimmed,2.0,0.4635315150656771
trimmed,2.0,0.6484326012545655
trimmed,2.0,0.4996282518438301
trimmed,3.0,0.03272436861577528
trimmed,3.0,0.12078804936549029
trimmed,3.0,0.0004346072611037327
trimmed,3.0,0.12141744131570971
trimmed,3.0,0.07378559116178281
trimmed,3.0,0.08164642158531729
trimmed,3.0,0.11158461486225515
trimmed,3.0,0.01196899815829759
trimmed,3.0,0.054673923600701155
trimmed,3.0,0.018337302187397108
trimmed,4.0,0.0022726814117529867
trimmed,4.0,0.02555216687338229
trimmed,4.0,0.03696998616750158
trimmed,4.0,0.02774933138466922
trimmed,4.0,0.0018544740294627465
