benchmark,strategy,n_agents,steps,topology,return,final_disagreement,consensus_error,msgs_sent,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode,domain,demand,lambda_opt,final_lambda_disagreement,final_power_mismatch,final_cost_gap,final_dispatch_regret,phys_violation_frac,phys_infeasible,phys_max_loading,phys_pmin,phys_pmax
consensus,mean,20,60,ring_plus,-5.2172283979623944e-08,5.2172283979623944e-08,0.0014826147971316,5040.0,0.0,0.2954365079365079,0.0,0.0,5040.0,3551.0,0.7045634920634921,0.2954365079365079,113632.0,32.0,0.0,3551.0,0.0,0.0,1489.0,0.0,0.0,0.0,mean,0.7409225007932936,0.9933811799926648,1.0,3.4038495183589134e-07,-0.1817867202952863,9.0,1.0,1.399646125476325,0.9593085927552824,cons__mean,cons__mean,msg_drop,0.3,0,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-3.639787635213434e-07,3.639787635213434e-07,0.0008100146297498,5400.0,0.0,0.3042592592592593,0.0,0.0,5400.0,3757.0,0.6957407407407408,0.3042592592592592,120224.0,32.0,0.0,3757.0,0.0,0.0,1643.0,0.0,0.0,0.0,mean,0.7563651627768142,0.9961313915562204,1.0,2.216437094015797e-06,-0.2847032096378806,12.0,1.0,1.320493917398932,0.8757031879896017,cons__mean,cons__mean,msg_drop,0.3,1,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.5263814563990466e-09,1.5263814563990466e-09,0.0023225390182646,6120.0,0.0,0.3063725490196078,0.0,0.0,6120.0,4245.0,0.6936274509803921,0.3063725490196078,135840.0,32.0,0.0,4245.0,0.0,0.0,1875.0,0.0,0.0,0.0,mean,0.69043968558887,0.9976133134436996,1.0,1.8880941778508422e-08,-0.3046854194572398,9.0,1.0,1.55469612182113,1.2029979528235235,cons__mean,cons__mean,msg_drop,0.3,2,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-5.990223661391156e-08,5.990223661391156e-08,0.0205178132614242,5040.0,0.0,0.2871031746031746,0.0,0.0,5040.0,3593.0,0.7128968253968254,0.2871031746031746,114976.0,32.0,0.0,3593.0,0.0,0.0,1447.0,0.0,0.0,0.0,mean,0.7280429522744922,0.9982935055827792,1.0,4.879644527023647e-07,-0.4374433136825298,11.0,1.0,1.2627284000071304,0.9577050629098172,cons__mean,cons__mean,msg_drop,0.3,3,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-3.401068839014355e-08,3.401068839014355e-08,0.0020179265133436,5640.0,0.0,0.299822695035461,0.0,0.0,5640.0,3949.0,0.700177304964539,0.299822695035461,126368.0,32.0,0.0,3949.0,0.0,0.0,1691.0,0.0,0.0,0.0,mean,0.7366642808162929,0.9941260914265616,1.0,2.368840739846945e-07,-0.2570986067426476,8.0,1.0,1.3711704029417888,1.0148743174324646,cons__mean,cons__mean,msg_drop,0.3,4,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-5.466031034651938e-09,5.466031034651938e-09,0.0009360861134377,6360.0,0.0,0.3007861635220126,0.0,0.0,6360.0,4447.0,0.6992138364779874,0.3007861635220126,142304.0,32.0,0.0,4447.0,0.0,0.0,1913.0,0.0,0.0,0.0,mean,0.6974629029828682,0.9971574318432822,1.0,5.1424912494118944e-08,-0.2545969141534123,12.0,1.0,1.6160985120576443,1.2695270368522074,cons__mean,cons__mean,msg_drop,0.3,5,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-9.10654460571348e-07,9.10654460571348e-07,0.0001124852334904,4680.0,0.0,0.2942307692307692,0.0,0.0,4680.0,3303.0,0.7057692307692308,0.2942307692307692,105696.0,32.0,0.0,3303.0,0.0,0.0,1377.0,0.0,0.0,0.0,mean,0.77266176982511,0.989698210104975,1.0,4.3657450128157255e-06,-0.3500855472967539,10.0,1.0,0.9450014459069908,0.6385712146617054,cons__mean,cons__mean,msg_drop,0.3,6,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-8.08592881048036e-11,8.08592881048036e-11,0.0008232699388007,6480.0,0.0,0.2983024691358025,0.0,0.0,6480.0,4547.0,0.7016975308641975,0.2983024691358025,145504.0,32.0,0.0,4547.0,0.0,0.0,1933.0,0.0,0.0,0.0,mean,0.6571890727497925,0.9951416518064684,1.0,1.1818397106940427e-09,-0.3212184241874919,8.0,1.0,2.218617553571293,1.6531050140173542,cons__mean,cons__mean,msg_drop,0.3,7,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-5.735078878360695e-05,5.735078878360695e-05,0.0032199450915992,4200.0,0.0,0.3164285714285714,0.0,0.0,4200.0,2871.0,0.6835714285714286,0.3164285714285714,91872.0,32.0,0.0,2871.0,0.0,0.0,1329.0,0.0,0.0,0.0,mean,0.8321858869982275,0.9873997304942904,1.0,0.0001736490044204,-0.2253597420144815,15.0,1.0,0.7964836768628718,0.4991524113307339,cons__mean,cons__mean,msg_drop,0.3,8,0,,,,,,,,,,,,
consensus,mean,20,60,ring_plus,-1.9397431585148744e-05,1.9397431585148744e-05,0.0031484618682992,5280.0,0.0,0.2984848484848484,0.0,0.0,5280.0,3704.0,0.7015151515151515,0.2984848484848484,118528.0,32.0,0.0,3704.0,0.0,0.0,1576.0,0.0,0.0,0.0,mean,0.8201345857820557,0.9839662278654784,1.0,5.824369190226113e-05,-0.2459001288758937,11.0,1.0,0.941329103508428,0.7112043835761201,cons__mean,cons__mean,msg_drop,0.3,9,0,,,,,,,,,,,,
