benchmark,strategy,n_agents,steps,topology,return,final_disagreement,consensus_error,msgs_sent,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2,task,task_name,family,value,seed,episode,hetero_level
consensus,mean,20,60,ring_plus,-0.004401265130313958,0.004401265130313958,0.001383205916999019,4886,0.0,0.19975440032746622,0.0,0.0,4886.0,3910.0,0.8002455996725337,0.19975440032746627,125120.0,32.0,0.0,3910.0,0.0,0.0,976.0,0.0,0.0,0.0,mean,0.9176829834674316,0.6216923279048638,0.65,0.004593392771871139,-0.18171336674598582,9.0,1.0,1.399646125476325,1.1443437793944773,cons__mean,cons__mean,hetero,0.5,0,0,0.5
consensus,mean,20,60,ring_plus,-0.0009443138638188519,0.0009443138638188519,0.0020351431633384535,5248,0.0,0.20579268292682926,0.0,0.0,5248.0,4168.0,0.7942073170731707,0.20579268292682928,133376.0,32.0,0.0,4168.0,0.0,0.0,1080.0,0.0,0.0,0.0,mean,0.7517132316413611,0.9867827528579617,0.8,0.001255133707115083,-0.28468747713979636,14.0,1.0,1.320493917398932,1.1316097621965093,cons__mean,cons__mean,hetero,0.5,1,0,0.5
consensus,mean,20,60,ring_plus,-0.0009044312840406412,0.0009044312840406412,0.0005782580232902553,5928,0.0,0.20985155195681512,0.0,0.0,5928.0,4684.0,0.7901484480431848,0.20985155195681515,149888.0,32.0,0.0,4684.0,0.0,0.0,1244.0,0.0,0.0,0.0,mean,0.7641378496711075,0.8882442590309145,0.6666666666666666,0.0007415420178791158,-0.30467034562794554,9.0,1.0,1.55469612182113,1.3457912083711585,cons__mean,cons__mean,hetero,0.5,2,0,0.5
consensus,mean,20,60,ring_plus,-0.006031138052853344,0.006031138052853344,0.005427953425733164,4780,0.0,0.19707112970711296,0.0,0.0,4780.0,3838.0,0.8029288702928871,0.19707112970711294,122816.0,32.0,0.0,3838.0,0.0,0.0,942.0,0.0,0.0,0.0,mean,0.8688625925991617,0.8305318901669253,0.7833333333333333,0.004760152450619126,-0.43734279571335277,11.0,1.0,1.2627284000071304,1.0457746857402244,cons__mean,cons__mean,hetero,0.5,3,0,0.5
consensus,mean,20,60,ring_plus,-0.008772728321461015,0.008772728321461015,0.005920825014283066,5556,0.0,0.20518358531317496,0.0,0.0,5556.0,4416.0,0.7948164146868251,0.20518358531317493,141312.0,32.0,0.0,4416.0,0.0,0.0,1140.0,0.0,0.0,0.0,mean,0.6855921178704699,0.9633637993976283,0.6333333333333333,0.009078216280764677,-0.2569523951708015,9.0,1.0,1.3711704029417888,1.1987261015073136,cons__mean,cons__mean,hetero,0.5,4,0,0.5
consensus,mean,20,60,ring_plus,-0.0029502265563718507,0.0029502265563718507,0.006551118758768626,5874,0.0,0.19884235614572693,0.0,0.0,5874.0,4706.0,0.801157643854273,0.19884235614572698,150592.0,32.0,0.0,4706.0,0.0,0.0,1168.0,0.0,0.0,0.0,mean,0.8354665675955831,0.8389266823844596,0.7833333333333333,0.002981049890922528,-0.25454774380190665,13.0,1.0,1.6160985120576443,1.276325269639275,cons__mean,cons__mean,hetero,0.5,5,0,0.5
consensus,mean,20,60,ring_plus,-0.006910261767530761,0.006910261767530761,0.0021348515040505106,4358,0.0,0.19068379990821477,0.0,0.0,4358.0,3527.0,0.8093162000917852,0.19068379990821482,112864.0,32.0,0.0,3527.0,0.0,0.0,831.0,0.0,0.0,0.0,mean,0.9192009549337444,0.6990905319817491,0.6833333333333333,0.010150957255012461,-0.34997039144486947,10.0,1.0,0.9450014459069909,0.7594558586726937,cons__mean,cons__mean,hetero,0.5,6,0,0.5
consensus,mean,20,60,ring_plus,-0.004313890147121689,0.004313890147121689,0.064810832223091,6053,0.0,0.19444903353708903,0.0,0.0,6053.0,4876.0,0.8055509664629109,0.1944490335370891,156032.0,32.0,0.0,4876.0,0.0,0.0,1177.0,0.0,0.0,0.0,mean,0.8927426055239569,0.72633282025497,0.6666666666666666,0.0028240078227740697,-0.3211465260197208,7.0,1.0,2.218617553571293,1.7384415746058577,cons__mean,cons__mean,hetero,0.5,7,0,0.5
consensus,mean,20,60,ring_plus,-0.22145809490476628,0.22145809490476628,0.06781477492407295,4149,0.0,0.2118582791033984,0.0,0.0,4149.0,3270.0,0.7881417208966016,0.21185827910339838,104640.0,32.0,0.0,3270.0,0.0,0.0,879.0,0.0,0.0,0.0,mean,0.9570397806364119,0.6554261950614304,0.6666666666666666,0.211647084331167,-0.22166972961254847,,0.0,0.7964836768628718,0.6355678607104387,cons__mean,cons__mean,hetero,0.5,8,0,0.5
consensus,mean,20,60,ring_plus,-0.0053178608288190375,0.0053178608288190375,0.06885581473241294,5240,0.0,0.20381679389312976,0.0,0.0,5240.0,4172.0,0.7961832061068702,0.2038167938931298,133504.0,32.0,0.0,4172.0,0.0,0.0,1068.0,0.0,0.0,0.0,mean,0.8579022434996297,0.9196578863566068,0.7833333333333333,0.0048021519436595075,-0.24581182115260647,12.0,1.0,0.9413291035084279,0.8465603055809257,cons__mean,cons__mean,hetero,0.5,9,0,0.5
