strategy,n_agents,cond,seed,final_disagreement,lyap_rho,msgs_sent
mean,80,clean,4,1.1814284356711386,0.9553981632822016,9600
mean,80,clean,5,1.7557678643428096,0.959510183831759,9600
mean,80,clean,6,6.603311824867946,0.9783611988423115,9600
mean,80,clean,7,2.6051830891170034,0.9716669938750326,9600
mean,80,clean,8,1.362697816362458,0.9613803358164756,9600
mean,80,clean,9,3.0494918837591296,0.9740303981973891,9600
mean,160,clean,0,6.050998214307222,0.9691970369082941,19200
mean,160,clean,1,11.647816143515024,0.9739813637289171,19200
mean,160,clean,2,7.944808333609069,0.9709439982794565,19200
mean,160,clean,3,12.923636243639322,0.979472697538204,19200
mean,160,clean,4,7.748189330781836,0.9724266772200442,19200
mean,160,clean,5,4.607433326299562,0.9651072289213557,19200
mean,160,clean,6,10.04582847535657,0.9741507174632287,19200
mean,160,clean,7,4.359946960093459,0.967998155832651,19200
mean,160,clean,8,5.073017606125715,0.9681864380591494,19200
mean,160,clean,9,8.284020197028033,0.9761093984397969,19200
oracle,10,clean,0,4.840037589409225e-22,0.42389302318158234,600
oracle,10,clean,1,5.908759549256078e-22,0.42353227297040585,600
oracle,10,clean,2,2.7695079399866606e-22,0.42339167512837944,600
oracle,10,clean,3,1.5946106093665029e-22,0.4228190518349357,600
oracle,10,clean,4,2.535104813439801e-22,0.4235603745915549,600
oracle,10,clean,5,1.0890691428216364e-22,0.4235874541275288,600
oracle,10,clean,6,1.0935961010061175e-22,0.4235790926872854,600
oracle,10,clean,7,1.4236575255071036e-22,0.4230474125247443,600
oracle,10,clean,8,2.208139015280668e-22,0.4238239140646533,600
oracle,10,clean,9,3.735150333956953e-22,0.4228216009717812,600
oracle,20,clean,0,8.032203537408792e-22,0.4229777197975904,1200
oracle,20,clean,1,9.712846744282836e-22,0.42263492445304174,1200
oracle,20,clean,2,7.129427332540043e-22,0.4231929869033225,1200
oracle,20,clean,3,2.691516179655324e-22,0.42344616290471293,1200
oracle,20,clean,4,5.520700142265898e-22,0.42365506393574404,1200
oracle,20,clean,5,2.8964926186912705e-22,0.42330619284302445,1200
oracle,20,clean,6,6.184003610109579e-22,0.42344998744517937,1200
oracle,20,clean,7,4.0189609758461442e-22,0.4226821343126612,1200
oracle,20,clean,8,7.918080212900491e-22,0.42300355432119807,1200
oracle,20,clean,9,9.716695305005468e-22,0.4226342096029944,1200
oracle,40,clean,0,1.6117256617141914e-21,0.42323607481922243,2400
oracle,40,clean,1,1.747858500449147e-21,0.42309715625721556,2400
oracle,40,clean,2,1.484570728264399e-21,0.42337691380306636,2400
