benchmark,domain,n_agents,steps,topology,demand,lambda_opt,final_lambda_disagreement,final_disagreement,final_power_mismatch,final_cost_gap,final_dispatch_regret,return,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,algo,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,strategy,task,task_name,family,value,seed,episode,phys_violation_frac,phys_infeasible,phys_max_loading,phys_pmin,phys_pmax
ed_abstract,abstract,6,70,ring_plus,6.734402593231453,2.6719381087315064,1.2202794523086426e-09,1.2202794523086426e-09,0.04342715185770096,0.009137111986058755,1.6795831262582525e-05,-0.009137111986058755,0.0,0.10515873015873016,0.0,0.0,1260.0,1134.0,0.9,0.09999999999999998,72576.0,64.0,0.0,1134.0,0.0,0.0,126.0,0.0,0.0,0.0,mean,0.7277251204402524,0.9672806548281911,0.9571428571428572,2.873773964129576e-09,-0.017228578868106886,7.0,1.0,1.1863934973516674,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,6,0,,,,,
ed_abstract,abstract,6,70,ring_plus,4.578698276905408,1.9254739598066002,6.561856016797553e-10,6.561856016797553e-10,0.16493970235362454,0.0,0.0005725479900540614,-0.0,0.0,0.12455357142857143,0.0,0.0,1120.0,987.0,0.88125,0.11875000000000002,63168.0,64.0,0.0,987.0,0.0,0.0,133.0,0.0,0.0,0.0,mean,0.7916695317165491,0.9054450802247935,0.9,1.4494187166370495e-08,-0.045025117343833125,4.0,1.0,1.4384471871911695,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,7,0,,,,,
ed_abstract,abstract,6,70,ring_plus,5.661702202467833,2.028774383818332,1.0182218408220509e-07,1.0182218408220509e-07,0.24502020717373085,0.0,0.0010161224857245885,-0.0,0.0,0.12366071428571429,0.0,0.0,1120.0,989.0,0.8830357142857143,0.11696428571428574,63296.0,64.0,0.0,989.0,0.0,0.0,131.0,0.0,0.0,0.0,mean,0.8579916637841981,0.7685488996697653,0.7714285714285715,2.9418355402540716e-07,-0.061684042833260976,4.0,1.0,1.2679491924311221,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,8,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.5283212614850505,3.0664956415492144,7.923692595486662e-13,7.923692595486662e-13,0.2943333014490941,0.060913468739016874,0.000951869340012723,-0.060913468739016874,0.0,0.1076530612244898,0.0,0.0,980.0,881.0,0.8989795918367347,0.1010204081632653,56384.0,64.0,0.0,881.0,0.0,0.0,99.0,0.0,0.0,0.0,mean,0.6865819150379432,0.9961768134525547,1.0,1.9891290596356928e-10,-0.02738590213896373,11.0,1.0,0.9999999999999994,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,9,0,,,,,
ed_abstract,abstract,6,70,ring_plus,5.4700953561938634,2.6155409706418986,1.0900365616848116e-08,1.0900365616848116e-08,0.010682785588336685,0.003038441820846159,1.956237221069901e-06,-0.003038441820846159,0.0,0.10396825396825397,0.0,0.0,1260.0,1137.0,0.9023809523809524,0.0976190476190476,72768.0,64.0,0.0,1137.0,0.0,0.0,123.0,0.0,0.0,0.0,mean,0.6338216087637054,0.9806855282502259,0.8857142857142857,2.1533795570470695e-08,-0.04017672648839673,4.0,1.0,1.2679491924311226,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,10,0,,,,,
ed_abstract,abstract,6,70,ring_plus,6.8973009723535945,2.1471324641013982,2.5672094321249812e-11,2.5672094321249812e-11,0.019065497679391363,0.0,3.430895237361482e-06,-0.0,0.0,0.10595238095238095,0.0,0.0,1260.0,1134.0,0.9,0.09999999999999998,72576.0,64.0,0.0,1134.0,0.0,0.0,126.0,0.0,0.0,0.0,mean,0.6921965190903512,0.9744602688052182,1.0,6.556417664306254e-11,-0.029548302454769474,8.0,1.0,1.4384471871911708,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,11,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.195577562111571,3.10687124840827,6.8222948228856965e-09,6.8222948228856965e-09,0.20203399638209962,0.0,0.000623678435640829,-0.0,0.0,0.10833333333333334,0.0,0.0,1260.0,1131.0,0.8976190476190476,0.10238095238095235,72384.0,64.0,0.0,1131.0,0.0,0.0,129.0,0.0,0.0,0.0,mean,0.7927385014707851,0.8187017610242012,0.9,2.024103079596074e-08,-0.07503564699313188,5.0,1.0,1.7856802566224643,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,12,0,,,,,
ed_abstract,abstract,6,70,ring_plus,8.03471426997243,2.6676182957664896,8.622393203117846e-12,8.622393203117846e-12,0.13966529047319742,0.0,0.00016292801080201392,-0.0,0.0,0.12222222222222222,0.0,0.0,1260.0,1114.0,0.8841269841269841,0.1158730158730159,71296.0,64.0,0.0,1114.0,0.0,0.0,146.0,0.0,0.0,0.0,mean,0.7735182365224615,0.8337582753657039,0.9571428571428572,2.0480078415127214e-11,-0.021521193904490553,2.0,1.0,1.697224362268006,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,13,0,,,,,
ed_abstract,abstract,6,70,ring_plus,8.1142325680871,3.0330532741315004,1.1807750480552063e-08,1.1807750480552063e-08,0.05530145023939248,0.010353079724903992,3.329786339247459e-05,-0.010353079724903992,0.0,0.10873015873015873,0.0,0.0,1260.0,1129.0,0.8960317460317461,0.10396825396825393,72256.0,64.0,0.0,1129.0,0.0,0.0,131.0,0.0,0.0,0.0,mean,0.7946575705624236,0.7931353731895892,0.8571428571428571,3.357274456070411e-08,-0.06673635590824215,6.0,1.0,1.4384471871911688,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,14,0,,,,,
ed_abstract,abstract,6,70,ring_plus,7.309379337037815,2.743326953639417,2.630606262408043e-09,2.630606262408043e-09,0.07076409219134572,0.014694037678497114,5.393980442356448e-05,-0.014694037678497114,0.0,0.12142857142857143,0.0,0.0,1260.0,1116.0,0.8857142857142857,0.11428571428571432,71424.0,64.0,0.0,1116.0,0.0,0.0,144.0,0.0,0.0,0.0,mean,0.777913419829161,0.9876050549788762,0.9857142857142858,1.7925624842714423e-08,-0.01897082550945616,7.0,1.0,1.3819660112501067,mean,ed_abstract__mean,ed_abstract__mean,msg_drop,0.1,15,0,,,,,
