benchmark,n_agents,steps,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,20,60,-0.26433321759022105,0.26433321759022105,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9464084067075081,0.9201798881930026,1.0,0.323404044981697,-0.37323735758870646,,0.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.09993077259261074,0.09993077259261074,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9385175015557379,0.8265868864486836,1.0,0.1220016028903665,-0.4549938184770708,33.0,1.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.3553330859704643,0.3553330859704643,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9548155754848044,0.9036973526018849,1.0,0.4331977718191448,-0.3292751642811468,,0.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.1433851637241629,0.1433851637241629,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528039653299993,0.9320424350786045,1.0,0.1750455953516037,-0.12415476340611792,,0.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.02535280207185681,0.02535280207185681,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9229370583890576,0.8677871309122002,1.0,0.031234447102539545,-0.25913921321247707,22.0,1.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.2352316811045261,0.2352316811045261,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9598921575993246,0.9348719776526289,1.0,0.28657486080789824,-0.13226094380862027,,0.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.19863171518873216,0.19863171518873216,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942336232959688,0.9229755746575675,1.0,0.24332764016753713,-0.2874368118844534,,0.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.1583218317606975,0.1583218317606975,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9550697066558992,0.89425624244538,1.0,0.19304639539195168,-0.18631708030678037,,0.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.07986995371838644,0.07986995371838644,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940029664880743,0.8118442413114565,1.0,0.09739662630528857,-0.3709453707847491,31.0,1.0,0.09788696740969219,0.09788696740969215
consensus,20,60,-0.16622808598228578,0.16622808598228578,0.0,0.0,0.0,0.0,2400.0,2400.0,1.0,0.0,76800.0,32.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.950836302035757,0.8240162651801979,1.0,0.20269130145394,-0.4540698981928101,46.0,1.0,0.09788696740969219,0.09788696740969215
