benchmark,n_agents,steps,return,final_disagreement,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,20,60,-0.3762760225792794,0.3762760225792794,0.0,0.29375,0.0,0.0,2400.0,1695.0,0.70625,0.29374999999999996,54240.0,32.0,0.0,1695.0,0.0,0.0,705.0,0.0,0.0,0.0,0.9508189972713655,0.8823322470352377,0.9166666666666666,0.43881387456631354,-0.371371644172222,,0.0,0.09788696740969219,0.022880712917541863
consensus,20,60,-0.015919677836939167,0.015919677836939167,0.0,0.3016666666666667,0.0,0.0,2400.0,1676.0,0.6983333333333334,0.30166666666666664,53632.0,32.0,0.0,1676.0,0.0,0.0,724.0,0.0,0.0,0.0,0.906992991778795,0.8527345735339749,0.9666666666666667,0.018103847169933015,-0.4563940033896652,16.0,1.0,0.09788696740969219,0.020859085074858525
consensus,20,60,-0.5349816484304474,0.5349816484304474,0.0,0.31166666666666665,0.0,0.0,2400.0,1652.0,0.6883333333333334,0.31166666666666665,52864.0,32.0,0.0,1652.0,0.0,0.0,748.0,0.0,0.0,0.0,0.9539209131475843,0.8791960546640725,0.9333333333333333,0.6425771818084587,-0.32628102157348043,,0.0,0.09788696740969219,0.023311311825344145
consensus,20,60,-0.28528673863297305,0.28528673863297305,0.0,0.29041666666666666,0.0,0.0,2400.0,1703.0,0.7095833333333333,0.29041666666666666,54496.0,32.0,0.0,1703.0,0.0,0.0,697.0,0.0,0.0,0.0,0.9621269684519692,0.9261879572968065,0.9,0.33244756494092115,-0.12178973715763777,,0.0,0.09788696740969219,0.03512163640899671
consensus,20,60,-0.09343044507348187,0.09343044507348187,0.0,0.2975,0.0,0.0,2400.0,1686.0,0.7025,0.2975,53952.0,32.0,0.0,1686.0,0.0,0.0,714.0,0.0,0.0,0.0,0.9409657694374108,0.8813641430915924,0.9166666666666666,0.11143599801086122,-0.25800458582911673,46.0,1.0,0.09788696740969219,0.019617814003885466
consensus,20,60,-0.28191180833710267,0.28191180833710267,0.0,0.29583333333333334,0.0,0.0,2400.0,1690.0,0.7041666666666667,0.2958333333333333,54080.0,32.0,0.0,1690.0,0.0,0.0,710.0,0.0,0.0,0.0,0.9621143277020212,0.9160309280109405,0.95,0.3216180420067495,-0.1314829416880773,,0.0,0.09788696740969219,0.024512162374370098
consensus,20,60,-0.36765540514653067,0.36765540514653067,0.0,0.2970833333333333,0.0,0.0,2400.0,1687.0,0.7029166666666666,0.29708333333333337,53984.0,32.0,0.0,1687.0,0.0,0.0,713.0,0.0,0.0,0.0,0.9510837068547473,0.9263369559471617,0.8666666666666667,0.42479268444417134,-0.28461975038515674,,0.0,0.09788696740969219,0.022890818048028717
consensus,20,60,-0.4427610311281629,0.4427610311281629,0.0,0.2991666666666667,0.0,0.0,2400.0,1682.0,0.7008333333333333,0.2991666666666667,53824.0,32.0,0.0,1682.0,0.0,0.0,718.0,0.0,0.0,0.0,0.9652056502480301,0.9194816654645329,0.8333333333333334,0.4981322073811441,-0.18157642698398932,,0.0,0.09788696740969219,0.019638024264859003
consensus,20,60,-0.05459415661252717,0.05459415661252717,0.0,0.31416666666666665,0.0,0.0,2400.0,1646.0,0.6858333333333333,0.3141666666666667,52672.0,32.0,0.0,1646.0,0.0,0.0,754.0,0.0,0.0,0.0,0.927798702802231,0.8219117255553039,0.9166666666666666,0.0642392995010866,-0.3713666340698469,25.0,1.0,0.09788696740969219,0.014323182117058861
consensus,20,60,-0.22735654142531006,0.22735654142531006,0.0,0.3025,0.0,0.0,2400.0,1674.0,0.6975,0.3025,53568.0,32.0,0.0,1674.0,0.0,0.0,726.0,0.0,0.0,0.0,0.9549012260579111,0.7846081943430864,0.95,0.2752573379766831,-0.45305109060209303,55.0,1.0,0.09788696740969219,0.01839675319388602
consensus,40,60,-1.9657342754464964,1.9657342754464964,0.0,0.295,0.0,0.0,4800.0,3384.0,0.705,0.29500000000000004,108288.0,32.0,0.0,3384.0,0.0,0.0,1416.0,0.0,0.0,0.0,0.9695528395770259,0.7543263482975959,0.9,2.146516289195112,-0.7250071814344234,,0.0,0.02462331880972404,0.0012324329846610796
consensus,40,60,-0.20035602237335137,0.20035602237335137,0.0,0.30291666666666667,0.0,0.0,4800.0,3346.0,0.6970833333333334,0.3029166666666666,107072.0,32.0,0.0,3346.0,0.0,0.0,1454.0,0.0,0.0,0.0,0.9262639345557689,0.9116074824418896,0.9833333333333333,0.22492696845409146,-0.8184345011754673,34.0,1.0,0.02462331880972404,0.000821410815744923
consensus,40,60,-2.398888541043843,2.398888541043843,0.0,0.30270833333333336,0.0,0.0,4800.0,3347.0,0.6972916666666666,0.30270833333333336,107104.0,32.0,0.0,3347.0,0.0,0.0,1453.0,0.0,0.0,0.0,0.9729221367295634,0.7388546451888565,0.8833333333333333,2.614069212185363,-0.6580047549242446,,0.0,0.02462331880972404,0.0015400660892608078
consensus,40,60,-1.1570444066722576,1.1570444066722576,0.0,0.288125,0.0,0.0,4800.0,3417.0,0.711875,0.28812499999999996,109344.0,32.0,0.0,3417.0,0.0,0.0,1383.0,0.0,0.0,0.0,0.964100193188338,0.8100817576039571,0.8333333333333334,1.2638739693544678,-0.5614378328733791,,0.0,0.02462331880972404,0.0011296774424322475
consensus,40,60,-1.6279483183343357,1.6279483183343357,0.0,0.29875,0.0,0.0,4800.0,3366.0,0.70125,0.29874999999999996,107712.0,32.0,0.0,3366.0,0.0,0.0,1434.0,0.0,0.0,0.0,0.9674069089372495,0.8454174400739909,0.95,1.7733161026330622,-0.46766925623739214,,0.0,0.02462331880972404,0.0007192887956033368
consensus,40,60,-0.27519569147523837,0.27519569147523837,0.0,0.30145833333333333,0.0,0.0,4800.0,3353.0,0.6985416666666666,0.3014583333333334,107296.0,32.0,0.0,3353.0,0.0,0.0,1447.0,0.0,0.0,0.0,0.9472792326972577,0.8841447251080001,0.9666666666666667,0.3246156982216159,-0.44025938940102743,,0.0,0.02462331880972404,0.0009241663579740393
consensus,40,60,-0.9360660125468218,0.9360660125468218,0.0,0.29625,0.0,0.0,4800.0,3378.0,0.70375,0.29625,108096.0,32.0,0.0,3378.0,0.0,0.0,1422.0,0.0,0.0,0.0,0.9595574565629689,0.8963357481041143,1.0,1.0904760309326778,-0.535775015983791,,0.0,0.02462331880972404,0.0012324329846611904
