benchmark,n_agents,steps,return,final_disagreement,consensus_error,comm_mse,comm_zero_frac,comm_age_mean,comm_age_peak,sent_msgs,delivered_real_msgs,delivery_rate,loss_rate,delivered_bits,bits_per_delivered,status_none,status_delivered,status_replayed,status_spoofed,status_dropped,status_jammed,status_partitioned,status_stale,lyap_rho,lyap_rho_r2,lyap_monotone_frac,lyap_ultimate_bound,lyap_mean_drift,time_to_eps,converged,nominal_lambda2,eff_lambda2
consensus,40,60,-9.91942156780084e-09,9.91942156780084e-09,0.0004534807193723499,0.0,0.0,0.0,0.0,18240.0,18240.0,1.0,0.0,583680.0,32.0,0.0,18240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7064971959442681,0.9985244190257813,1.0,1.1032829240052815e-07,-0.5121450883282468,10.0,1.0,2.088773022936588,2.088773022936588
consensus,40,60,-6.06067074745986e-08,6.06067074745986e-08,0.0013190796480010702,0.0,0.0,0.0,0.0,17760.0,17760.0,1.0,0.0,568320.0,32.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333859706136009,0.9900916111100974,1.0,4.0778836683656286e-07,-0.5630083308429469,8.0,1.0,2.234234449997726,2.234234449997726
consensus,40,60,-1.5445800716768863e-08,1.5445800716768863e-08,0.0003061954762309602,0.0,0.0,0.0,0.0,17040.0,17040.0,1.0,0.0,545280.0,32.0,0.0,17040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7128127874629149,0.996454732860751,1.0,1.4388796679953206e-07,-0.493721937150516,10.0,1.0,2.140351993937301,2.140351993937301
consensus,80,60,-3.8807700247021744e-12,3.8807700247021744e-12,0.0003089803852411303,0.0,0.0,0.0,0.0,62400.0,62400.0,1.0,0.0,1996800.0,32.0,0.0,62400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122685820984285,0.9969062951125631,1.0,1.2806326403455906e-10,-1.3272706925643996,7.0,1.0,4.213131314246281,4.213131314246282
consensus,80,60,-1.5245080369029673e-12,1.5245080369029673e-12,0.0003201525641712363,0.0,0.0,0.0,0.0,66120.0,66120.0,1.0,0.0,2115840.0,32.0,0.0,66120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5993788031886035,0.9970347156353455,1.0,5.090930787437293e-11,-1.3715715323138769,7.0,1.0,5.757778625797159,5.757778625797161
consensus,80,60,-5.8791321850295026e-12,5.8791321850295026e-12,0.00042004434808715795,0.0,0.0,0.0,0.0,68400.0,68400.0,1.0,0.0,2188800.0,32.0,0.0,68400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6165491663883409,0.9967842938576514,1.0,1.7363656028382153e-10,-1.199308628048623,7.0,1.0,5.697800659811834,5.697800659811834
consensus,80,60,-9.365347958323371e-11,9.365347958323371e-11,7.216185003108366e-05,0.0,0.0,0.0,0.0,62040.0,62040.0,1.0,0.0,1985280.0,32.0,0.0,62040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6463638133594268,0.9966389159589766,1.0,1.9645290211342104e-09,-1.2809126748806205,7.0,1.0,4.7039378176522,4.703937817652201
consensus,80,60,-4.546832788429811e-12,4.546832788429811e-12,0.001086596273338853,0.0,0.0,0.0,0.0,65880.0,65880.0,1.0,0.0,2108160.0,32.0,0.0,65880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6117313187017064,0.9983676045723371,1.0,1.6711557899294113e-10,-1.2583639832810427,7.0,1.0,6.374105194463,6.374105194463001
consensus,80,60,-1.324673456343385e-11,1.324673456343385e-11,0.0013806466059671477,0.0,0.0,0.0,0.0,64680.0,64680.0,1.0,0.0,2069760.0,32.0,0.0,64680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6228598509019251,0.9976153379459811,1.0,3.8236489798871967e-10,-1.2927116736171735,7.0,1.0,5.63523767826106,5.635237678261058
consensus,80,60,-1.2849215088090921e-11,1.2849215088090921e-11,0.00020365571142750552,0.0,0.0,0.0,0.0,64200.0,64200.0,1.0,0.0,2054400.0,32.0,0.0,64200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6200546435835217,0.9984679780431297,1.0,4.259599389341643e-10,-1.6876561861208959,7.0,1.0,3.868534963501456,3.8685349635014554
consensus,80,60,-8.079892304775834e-13,8.079892304775834e-13,8.994399674497439e-05,0.0,0.0,0.0,0.0,66120.0,66120.0,1.0,0.0,2115840.0,32.0,0.0,66120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5973129783167923,0.9982549571281851,1.0,3.7127473706757365e-11,-1.1114215988480183,7.0,1.0,5.569577765303591,5.569577765303589
consensus,80,60,-5.1729925276550894e-11,5.1729925276550894e-11,0.00037492410916847776,0.0,0.0,0.0,0.0,62760.0,62760.0,1.0,0.0,2008320.0,32.0,0.0,62760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6391043168000059,0.9975228618568494,1.0,1.2801970422010925e-09,-1.1677369950639032,8.0,1.0,4.942407740064532,4.9424077400645325
